,descricao
166,"São Paulo ainda tem crescimento acelerado da pandemia de coronavírus. Mesmo assim, o governador João Doria planeja retomar as aulas nas escolas em todo o Estado a partir de 08 de setembro. Entenda quais são os perigos.  ?? Essa é uma coprodução do jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi criado especialmente para tratar informações apuradas e interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus Quer ouvir todos os episódios? Acesse: https://anchor.fm/periferia-em-movimento https://open.spotify.com/show/1ia9VOADtILrmOnrQ3iRSE https://soundcloud.com/gisele-brito/sets/pandemia-sem-neurose https://www.youtube.com/watch?v=dbuHO9SHR_4&list=PLDeReuIg3N7HbBebLr7rGuwYA1sCsrweC Você pode enviar perguntas para os próximos episódios. Envie um salve no zap (11) 957816636 ou clique em http://wa.me/5511957816636 "
167,"Como tá o avanço do coronavírus na cidade e no estado de São Paulo com a flexibilização dos comércios e serviços? E vem vacina por aí? ?? Essa é uma coprodução do jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi criado especialmente para tratar informações apuradas e interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus Quer ouvir todos os episódios? Acesse: https://anchor.fm/periferia-em-movimento https://open.spotify.com/show/1ia9VOADtILrmOnrQ3iRSE https://soundcloud.com/gisele-brito/sets/pandemia-sem-neurose https://www.youtube.com/watch?v=dbuHO9SHR_4&list=PLDeReuIg3N7HbBebLr7rGuwYA1sCsrweC Você pode enviar perguntas para os próximos episódios. Envie um salve no zap (11) 957816636 ou clique em http://wa.me/5511957816636 "
168,"Mesmo depois de 40 episódios desse podcast, precisamos falar do auxílio supostamente emergencial. Pois é.  Entenda como vai funcionar o pagamento pra quem é beneficiário do Bolsa Família, da demora no calendário dos demais recebedores e também quantos milhões de trabalhadores ainda estão em análise. Enquanto isso, no auge da pandemia, o governo Bolsonaro não quer estender o pagamento dos R$ 600. ?? Essa é uma coprodução do jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi criado especialmente para tratar informações apuradas e interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus Quer ouvir todos os episódios? Acesse: https://anchor.fm/periferia-em-movimento https://open.spotify.com/show/1ia9VOADtILrmOnrQ3iRSE https://soundcloud.com/gisele-brito/sets/pandemia-sem-neurose https://www.youtube.com/watch?v=dbuHO9SHR_4&list=PLDeReuIg3N7HbBebLr7rGuwYA1sCsrweC Você pode enviar perguntas para os próximos episódios. Envie um salve no zap (11) 957816636 ou clique em http://wa.me/5511957816636 "
169,"Pelo terceiro dia seguido, o Brasil registra mais de 1.200 mortes por covid-19 em 24 horas. Quase 1 milhão de pessoas já foram infectadas no País. Os altos números fazem com que muitos de nós tenhamos perdas perto da gente - e isso gera um luto coletivo.  Por conta disso, um grupo voluntário criou a Rede de Apoio a Famílias de Vítimas da Covid-19. Neste episódio, você fica sabendo de algumas orientações para garantir o direito a uma morte digna.   ?? Essa é uma coprodução do jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi criado especialmente para tratar informações apuradas e interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus Quer ouvir todos os episódios? Acesse: https://anchor.fm/periferia-em-movimento https://open.spotify.com/show/1ia9VOADtILrmOnrQ3iRSE https://soundcloud.com/gisele-brito/sets/pandemia-sem-neurose https://www.youtube.com/watch?v=dbuHO9SHR_4&list=PLDeReuIg3N7HbBebLr7rGuwYA1sCsrweC Você pode enviar perguntas para os próximos episódios. Envie um salve no zap (11) 957816636 ou clique em http://wa.me/5511957816636 "
170,"Perdido entre números? São Paulo bate recordes em óbitos e infecções, mas o poder público aponta uma desaceleração do contágio. E fica a dúvida: com a reabertura de comércios e serviços, o que esperar das próximas semanas?  ?? Essa é uma coprodução do jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi criado especialmente para tratar informações apuradas e interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus Quer ouvir todos os episódios? Acesse: https://anchor.fm/periferia-em-movimento https://open.spotify.com/show/1ia9VOADtILrmOnrQ3iRSE https://soundcloud.com/gisele-brito/sets/pandemia-sem-neurose https://www.youtube.com/watch?v=dbuHO9SHR_4&list=PLDeReuIg3N7HbBebLr7rGuwYA1sCsrweC Você pode enviar perguntas para os próximos episódios. Envie um salve no zap (11) 957816636 ou clique em http://wa.me/5511957816636 "
171,"E sabe quem também está de volta? O comércio com portas abertas, autorizado a reabrir com restrições a partir desta quarta-feira, na cidade de São Paulo. Isso um dia depois do Estado registrar 334 mortes - um recorde em 24 horas. Será uma boa ideia? ?? Essa é uma coprodução do jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi criado especialmente para tratar informações apuradas e interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus Quer ouvir todos os episódios? Acesse: https://anchor.fm/periferia-em-movimento https://open.spotify.com/show/1ia9VOADtILrmOnrQ3iRSE https://soundcloud.com/gisele-brito/sets/pandemia-sem-neurose https://www.youtube.com/watch?v=dbuHO9SHR_4&list=PLDeReuIg3N7HbBebLr7rGuwYA1sCsrweC Você pode enviar perguntas para os próximos episódios. Envie um salve no zap (11) 957816636 ou clique em http://wa.me/5511957816636 "
172,"Dia 01 de junho, tem início a chamada quarentena inteligente, como o governador João Doria nomeou a flexibilização do distanciamento social no Estado. Mas na cidade de São Paulo, que permitiria a abertura de comércios e até shopping centers, o prefeito Bruno Covas avisou que não é bem assim. Ainda assim, pairam dúvidas sobre a medida pois a capital paulista é uma ilha de retomada econômica cercada de municípios em isolamento por todos os lados.   ?? Essa é uma coprodução do jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi criado especialmente para tratar informações apuradas e interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus Quer ouvir todos os episódios? Acesse: https://anchor.fm/periferia-em-movimento https://open.spotify.com/show/1ia9VOADtILrmOnrQ3iRSE https://soundcloud.com/gisele-brito/sets/pandemia-sem-neurose https://www.youtube.com/watch?v=dbuHO9SHR_4&list=PLDeReuIg3N7HbBebLr7rGuwYA1sCsrweC Você pode enviar perguntas para os próximos episódios. Envie um salve no zap (11) 957816636 ou clique em http://wa.me/5511957816636 "
173,"Quarentena inteligente? A partir de 01 de junho, o Governo do Estado de São Paulo inicia a reabertura aos poucos de determinados setores econômicos.  ?? Essa é uma coprodução do jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi criado especialmente para tratar informações apuradas e interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus Quer ouvir todos os episódios? Acesse: https://anchor.fm/periferia-em-movimento https://open.spotify.com/show/1ia9VOADtILrmOnrQ3iRSE https://soundcloud.com/gisele-brito/sets/pandemia-sem-neurose https://www.youtube.com/watch?v=dbuHO9SHR_4&list=PLDeReuIg3N7HbBebLr7rGuwYA1sCsrweC Você pode enviar perguntas para os próximos episódios. Envie um salve no zap (11) 957816636 ou clique em http://wa.me/5511957816636 "
174,"Diante do aumento de infecções e mortes, a Prefeitura de São Paulo pode decretar o lockdown na próxima quarta-feira, dia 27/05. É o famoso tranca-rua. ?? Essa é uma coprodução do jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi criado especialmente para tratar informações apuradas e interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus Quer ouvir todos os episódios? Acesse: https://anchor.fm/periferia-em-movimento https://open.spotify.com/show/1ia9VOADtILrmOnrQ3iRSE https://soundcloud.com/gisele-brito/sets/pandemia-sem-neurose https://www.youtube.com/watch?v=dbuHO9SHR_4&list=PLDeReuIg3N7HbBebLr7rGuwYA1sCsrweC Você pode enviar perguntas para os próximos episódios. Envie um salve no zap (11) 957816636 ou clique em http://wa.me/5511957816636 "
175,"Os números de novas infecções por coronavírus não param de subir no Brasil - e São Paulo segue na dianteira. Por isso, especialistas recomendam o lockdown, o famoso fecha tudo, ninguém sai. Mas ficar em casa sem grana não dá. Então, se liga que a segunda parcela do auxílio emergencial começou a ser liberada.  ?? Essa é uma coprodução do jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi criado especialmente para tratar informações apuradas e interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus Quer ouvir todos os episódios? Acesse: https://anchor.fm/periferia-em-movimento https://open.spotify.com/show/1ia9VOADtILrmOnrQ3iRSE https://soundcloud.com/gisele-brito/sets/pandemia-sem-neurose https://www.youtube.com/watch?v=dbuHO9SHR_4&list=PLDeReuIg3N7HbBebLr7rGuwYA1sCsrweC Você pode enviar perguntas para os próximos episódios. Envie um salve no zap (11) 957816636 ou clique em http://wa.me/5511957816636 "
176,"Nesta quarta, dia 20/05, começa o megaferiado decretado pela Prefeitura de São Paulo. Mas nada de festa, viagem, rolezinho: a medida desesperada busca conter o avanço do coronavírus na cidade. Será que vai dar certo? ?? Essa é uma coprodução do jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi criado especialmente para tratar informações apuradas e interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus Quer ouvir todos os episódios? Acesse: https://anchor.fm/periferia-em-movimento https://open.spotify.com/show/1ia9VOADtILrmOnrQ3iRSE https://soundcloud.com/gisele-brito/sets/pandemia-sem-neurose https://www.youtube.com/watch?v=dbuHO9SHR_4&list=PLDeReuIg3N7HbBebLr7rGuwYA1sCsrweC Você pode enviar perguntas para os próximos episódios. Envie um salve no zap (11) 957816636 ou clique em http://wa.me/5511957816636 "
177,"Precisamos falar de CLOROQUINA. Pois é, o medicamento é defendido pelo presidente Bolsonaro para tratar a covid-19, mas cientistas do mundo inteiro apontam os perigos disso. Enquanto isso, por onde andam os respiradores?  ?? Essa é uma coprodução do jornalista Gisele Brito e das iniciativas Periferia em Movimento, Alma Preta e Desenrola e Não Me Enrola. O boletim foi criado especialmente para tratar informações apuradas e interesse de moradoras e moradores das periferias de São Paulo diante da pandemia de coronavírus Quer ouvir todos os episódios? Acesse: https://anchor.fm/periferia-em-movimento https://open.spotify.com/show/1ia9VOADtILrmOnrQ3iRSE https://soundcloud.com/gisele-brito/sets/pandemia-sem-neurose https://www.youtube.com/watch?v=dbuHO9SHR_4&list=PLDeReuIg3N7HbBebLr7rGuwYA1sCsrweC Você pode enviar perguntas para os próximos episódios. Envie um salve no zap (11) 957816636 ou clique em http://wa.me/5511957816636 "
